"HostelName","Station","dist","lat_station","lng_station"
"&And Hostel Akihabara","Akihabara",0.41006159225631,35.69855685,139.7731418
"&And Hostel Ueno","Inaricho",0.170318921250364,35.71141397,139.7826734
"&And Hostel-Asakusa North-","Minami-senju",0.497011005602321,35.7323539,139.7988024
"1night1980hostel Tokyo","Iriya",0.341543698797562,35.7215633,139.7854523
"328 Hostel & Lounge","Suehirocho",3.01991122382276,35.5302804,139.7707142
"Ace Inn Shinjuku","Yotsuya-sanchome",0.648037152302359,35.6877469,139.7201721
"Aizuya Inn","Minami-senju",0.569905984016244,35.7323539,139.7988024
"Akihabara Hotel 3000","Akihabara",0.57584362095013,35.69855685,139.7731418
"Almond hostel & cafe Shibuya","Yoyogi-uehara",0.715271807304943,35.6691681,139.6796851
"Anne Hostel Asakusabashi","Tawaramachi",1.21843269661773,35.709842,139.7907747
"Anne Hostel Yokozuna","Kiyosumi-shirakawa",1.50559758029815,35.6820467,139.7987913
"ARTnSHELTER","Shirokanedai",4.02048165709943,35.6381169,139.7265558
"AS House (Asakusa Smile)","Asakusa",0.462670535759634,35.71085336,139.7978265
"Asakusa Hostel Toukaisou","Tawaramachi",0.37084877581589,35.709842,139.7907747
"Asakusa Ryokan Toukaisou","Tawaramachi",0.37084877581589,35.709842,139.7907747
"Asakusahotel Wasou","Asakusa",0.152810712450659,35.71085336,139.7978265
"Astro Station","Takadanobaba",0.123676061972666,35.7134826,139.7044742
"Backpackers Hostel K's House Tokyo","Tawaramachi",0.547584089340638,35.709842,139.7907747
"Beagle Tokyo Hostel & Apartments","Suehirocho",3.49879639051553,35.5302804,139.7707142
"bnb+ Ninja Dojo Ueno","Shin-otsuka",0.811256971369992,35.7257823,139.7299234
"bnb+Shinjuku Castle","Higashi-shinjuku",0.306342773372458,35.6989445,139.7077279
"Book And Bed Tokyo Asakusa","Asakusa",0.257026423631165,35.71085336,139.7978265
"Book And Bed Tokyo Ikebukuro","Ikebukuro",0.0202262455193545,35.7312289,139.7084087
"Bunka Hostel Tokyo","Tawaramachi",0.335009180752633,35.709842,139.7907747
"Capsule Inn Kinshichou","Kinshicho",0.309944863962649,35.6975284,139.8153335
"Capsule Value Kanda","Otemachi",0.437760529397165,35.6876162,139.7665736
"Centurion Hotel Residential Akasaka","Akasaka",0.305508510500895,35.6715627,139.7358165
"Centurion Ladies Hostel Uenopark (Female only)","Yushima",0.139416844850421,35.7079466,139.7700559
"CITAN Hostel","Kodemmacho",0.260487149352943,35.6913621,139.7784791
"Edo Tokyo Hostel","Oshiage",4.57957823496333,35.7106447,139.8132275
"Emblem Hostel Nishiarai","Kita-senju",3.42154669646797,35.7495473,139.8050418
"ENAKA Asakusa Central Hostel","Asakusa",0.271847800993829,35.71085336,139.7978265
"Family & bAKpAK Tokyo Hostel","Iriya",0.593308420960655,35.7215633,139.7854523
"Good Diner Inn Copain","Higashi-ikebukuro",0.919827135139193,35.7264063,139.7185282
"GRIDS TOKYO AKIHABARA HOTEL&HOSTEL","Kodemmacho",0.601777367515793,35.6913621,139.7784791
"Grids Tokyo Asakusa-Bashi Hotel&Hostel","Kodemmacho",0.601777367515793,35.6913621,139.7784791
"GRIDS TOKYO NIHOMBASHI EAST HOTEL&HOSTEL","Kodemmacho",0.507745330895813,35.6913621,139.7784791
"Guest House Denchi","Tawaramachi",0.34995813587893,35.709842,139.7907747
"Guest House Shinagawa-shuku Tokyo","Shirokanedai",2.20370204906147,35.6381169,139.7265558
"Guest House TRACE","Kodemmacho",0.866772273779163,35.6913621,139.7784791
"Guesthouse Fete","Asakusa",1.04689798284912,35.71085336,139.7978265
"Guesthouse Kagaribi","Kita-senju",0.967875405067706,35.7495473,139.8050418
"Guesthouse Sensu","Suehirocho",3.7586557301945,35.5302804,139.7707142
"Hikari House","Higashi-shinjuku",0.517990244865761,35.6989445,139.7077279
"Hiromas Hostel in Akiba","Yushima",0.378372918206928,35.7079466,139.7700559
"Hiromas Hostel in Kanda","Kodemmacho",0.254235861855727,35.6913621,139.7784791
"Hiromas Inn  Chitose-Karasuyama","Ogikubo",4.09974295002976,35.70566,139.61934
"Homeikan","Korakuen",0.49365837241506,35.7086514,139.7518001
"Hop Step Inn","Oji",0.249553497601327,35.7537893,139.7379558
"Hostel bedgasm","Iriya",0.324117595926044,35.7215633,139.7854523
"Hostel Chapter Two Tokyo","Asakusa",0.180750662754252,35.71085336,139.7978265
"hostel DEN","Kodemmacho",0.165120828524677,35.6913621,139.7784791
"Hostel Pumpkey Tokyo","Yotsuya-sanchome",0.330944004053653,35.6877469,139.7201721
"Hostel WAQWAQ Tokyo Ueno Asakusa","Iriya",0.437730424288001,35.7215633,139.7854523
"Hostel＆Café East57 Asakusabashi","Kodemmacho",1.02274923785018,35.6913621,139.7784791
"Hotel Graphy Nezu","Nezu",0.320983317943419,35.718029,139.765237
"Hotel Kawase Tokyo and Capsule","Asakusa",0.251369192719111,35.71085336,139.7978265
"Hotel&Hostel On the Marks Tokyo Kawasaki","Suehirocho",6.53781388662664,35.5302804,139.7707142
"Ikidane House","Nishi-nippori",0.81053771977897,35.7325993,139.767211
"Ikidane House Asakusa Hatago","Iriya",0.868301438793258,35.7215633,139.7854523
"Imano Tokyo Ginza Hostel","Shintomicho",0.313673810842095,35.6697485,139.7743712
"Imano Tokyo Hostel","Shinjuku-sanchome",0.148342039611726,35.69313,139.7061365
"IRORI Nihonbashi Hostel and Kitchen","Kodemmacho",0.490871552206412,35.6913621,139.7784791
"Iza Tokyo Asakusa Guesthouse","Asakusa",0.479808963905242,35.71085336,139.7978265
"J's Backpackers","Ayase",3.95017545303329,35.7622536,139.8240857
"Japanize Guest House","Kodemmacho",0.315467221698485,35.6913621,139.7784791
"JGH Tokyo","Akabane-iwabuchi",2.89174739990576,35.7829684,139.7198532
"Jimbocho Sakura Hotel","Jimbocho",0.217259098044483,35.6969077,139.7566297
"Juyoh Hotel","Minami-senju",0.65241074166645,35.7323539,139.7988024
"Kaisu Hostel","Akasaka",0.216532260657688,35.6715627,139.7358165
"Khaosan Tokyo Kabuki","Asakusa",0.24139051154236,35.71085336,139.7978265
"Khaosan Tokyo Laboratory","Tawaramachi",0.229993467406356,35.709842,139.7907747
"Khaosan Tokyo Origami","Asakusa",0.611410953253668,35.71085336,139.7978265
"Khaosan Tokyo Samurai","Tawaramachi",0.578176694614428,35.709842,139.7907747
